# Name	AO	GBT	AO_UWB	GBT_UWB	DSA2K_full	DSA2K_half	DSA2K_qtr	VLA_LS	ngVLA_Band12
J170601-415433	-2	307448.816093	-2	33045.155442	296279.892142	296405.263454	296906.226205	28169.5775705	2002.81248964
J180253-222431	-2	305186.290785	-2	35987.2497224	296447.048794	296446.531737	296447.409026	30919.5640578	3413.571424
J174419-304928	-2	310443.642847	-2	35360.2105476	296615.04328	296711.949689	297099.267528	31478.5562176	3021.72626362
J180019-202135	-2	308259.438923	-2	37099.3942428	297284.123113	297413.004333	297927.974853	30597.6779942	2351.73815989
J182205-161156	-2	389665.581178	-2	38096.4256355	297308.96771	300625.924468	313543.048623	34647.2724347	5276.85772746
J172304-341208	-2	339983.374359	-2	36323.5041434	298960.327499	300150.063856	304862.583795	31798.6297028	3353.17587223
J180400-183936	-2	316264.090693	-2	38997.0499071	299212.283335	299592.584079	301108.985161	30797.3409295	2029.50300117
J185954+053441	123408.963132	317762.259048	31350.6589564	35943.9925873	299353.489073	299824.912147	301703.240121	29096.3960764	2036.68239709
J181536-125151	-2	307257.225375	-2	31179.4413278	299478.435354	299520.982891	299691.127111	26141.5959016	1160.6068526
J184420+002236	120058.588492	310420.699773	33321.1069531	37996.4419649	300792.473444	300959.918333	301628.771334	29528.8598569	2734.79554433
J174858-271722	-2	313341.022939	-2	36743.073843	301286.004105	301396.255302	301836.872226	32122.9875965	5276.29577655
J175623-282512	-2	316462.602293	-2	42815.5892141	301439.687821	301687.6951	302677.694015	32828.5417029	2928.80891762
J174455-302650	-2	320820.604629	-2	40374.2982857	301631.920735	301917.408901	303056.675339	36856.5706754	9842.38548159
J170314-394728	-2	330212.204345	-2	31855.0693228	301710.922744	302404.608317	305163.583551	27751.6338478	1898.85288714
J183200-140720	-2	312888.516199	-2	37160.4820468	301752.377803	301969.674998	302837.306452	29637.8885249	3053.59121904
J174411-280122	-2	310998.266754	-2	35315.8919943	302508.100717	302527.807777	302606.643601	30051.5052797	2770.12912068
J174356-283443	-2	352730.311623	-2	32098.0757214	303085.317046	304401.785495	309611.688916	29325.2381904	1650.28447979
J172043-373609	-2	324334.833415	-2	40590.2458667	304724.505364	305113.192143	306663.014503	33522.554054	3180.10743752
J174427-290106	-2	535661.384534	-2	43440.7824751	306298.203677	316211.676636	353093.137789	42861.0489125	6630.97897263
J174507-285541	-2	332400.17735	-2	37405.0090065	306675.584263	307126.42599	308923.218844	34114.4931862	4234.8117676
J171859-340959	-2	328748.220349	-2	46571.2964294	307040.780276	307471.140232	309186.590876	35240.850587	3442.61522482
J181143-162743	-2	316906.402429	-2	42600.0844602	308286.305297	308302.40577	308366.828431	33305.2329004	3428.60620369
J185255+000118	135149.155404	335168.560856	30240.5717238	34430.6112522	308422.397262	309123.363028	311911.474442	29465.6184031	2661.44972544
J170847-401407	-2	325411.727482	-2	40290.610392	308556.573442	308848.782365	310014.866795	33251.1422351	2510.40359786
J180331-222022	-2	324938.624419	-2	38898.4382122	309347.742666	309576.56424	310490.16684	33026.411878	2977.70380816
J172913-350120	-2	345686.639627	-2	32642.4489644	312891.392702	313649.898532	316665.754874	28929.4447464	1304.34846083
J171253-352318	-2	355506.331391	-2	39445.0767399	313463.54922	314757.281358	319879.890418	32924.9469904	2530.32298619
J164624-430623	-2	335332.311551	-2	46872.5008544	313822.012252	314244.597157	315929.285305	35986.9519784	3869.06780661
J182616-091516	-2	346977.806582	-2	37504.8982404	314184.110297	315102.666309	318750.421781	31919.649759	2775.30539818
J173121-365858	-2	319798.489743	-2	36587.3852407	314582.432197	314589.795525	314619.330487	29495.0174213	2459.22623697
J171352-384707	-2	327452.923358	-2	39900.0491707	314652.577371	314801.14033	315394.696666	33076.2722811	2090.39138102
J175202-245921	-2	359525.094372	-2	36255.5801077	315120.089778	316415.183114	321543.398527	31844.0447816	2606.60876414
J173954-311320	-2	402586.470951	-2	37026.576829	315135.433147	317937.840695	328908.783708	34976.4421728	4148.01018471
J181051-194152	-2	355119.162922	-2	33009.6139589	315788.33973	316793.971933	320784.978604	29276.7322096	1875.01246773
J173910-313322	-2	340601.683583	-2	36265.3256629	315886.611477	316262.061049	317759.428251	33311.5667784	2884.10664116
J174413-282156	-2	345467.298072	-2	34108.7676958	316185.601765	316746.380382	318979.638323	30901.6026434	2049.96175913
J170009-421121	-2	341736.304272	-2	35906.4947774	317697.943553	318253.024193	320463.733603	30872.9854513	1857.0523411
J185219+003031	132489.468812	359539.680487	34491.5102422	40145.1390285	317790.734095	319058.523271	324080.088858	33629.7074833	2794.9031918
J173446-331613	-2	374134.75044	-2	35084.8918141	319776.101802	321375.707257	327696.056089	31405.4694022	2064.50202252
J180955-225025	-2	357599.137236	-2	38313.210697	321022.662532	322097.866095	326363.260127	32232.2499612	1801.0207629
J173929-310728	-2	348333.126652	-2	37047.4044029	324054.838902	324364.210858	325598.761691	34485.3227241	4861.93409712
J165956-404844	-2	403795.351277	-2	42624.3789122	324207.751497	326931.011024	337604.451191	37067.9027506	2278.64033011
J174206-270022	-2	338377.30247	-2	53387.3065139	325217.974766	325258.008816	325418.110339	37606.6158889	5344.87664929
J172613-335408	-2	336148.695319	-2	36371.5582475	326319.597165	326335.951842	326401.422093	31217.7962735	996.039420358
J175616-260531	-2	335071.499447	-2	38725.414605	326520.969959	326522.382494	326528.666861	32656.9240695	2310.29129087
J175027-250729	-2	389521.759699	-2	39022.7720976	327716.512754	329676.91299	337404.629593	34624.3772033	3598.11793247
J170352-372428	-2	336193.429434	-2	48655.4245763	328062.800326	328072.830483	328112.984754	36062.5079743	7013.87645717
J175954-222241	-2	338699.359561	-2	42608.8520258	329886.032501	329894.533942	329928.665081	35127.429383	4164.20078647
J184742+004745	144031.393493	351986.339874	31367.2517031	35760.5480851	331927.252191	332404.275371	334305.563048	29978.0557243	1629.3255262
J165158-423316	-2	340231.564626	-2	37950.5583806	331977.669563	331996.184673	332070.297028	31805.9325052	1960.21874999
J180814-215134	-2	371624.49615	-2	45348.0175317	333696.054754	334762.121262	338992.863881	37706.8652946	5125.0523716
J185537+001150	126951.125529	343449.184805	42195.6248606	48370.2374633	333758.429761	333792.756601	333930.043061	35444.4086984	3228.34839716
J175649-265343	-2	360141.681497	-2	47254.4362857	333973.195389	334550.763186	336851.132181	37975.9039148	3465.69707324
J184059-055337	-2	436707.124668	-2	42798.4900758	334240.284138	337917.956868	352244.883297	38257.8220356	3432.52547977
J172325-361543	-2	369857.783421	-2	56546.7144809	334482.993731	335262.420184	338362.172791	42785.9467483	6311.62901094
J171453-363923	-2	385667.410666	-2	50803.803388	335175.74041	336637.631856	342422.79165	41285.1950579	4978.47230076
J175507-251322	-2	345357.012168	-2	37963.6916889	335227.621776	335229.726549	335238.420629	32789.1924222	1843.4922862
J165752-402504	-2	344310.886258	-2	47240.8870797	336040.992692	336045.148658	336061.932631	34855.4425437	2341.80764898
J182119-150826	-2	354030.93844	-2	51391.0067519	337255.877484	337435.124959	338151.167261	39158.1738697	4055.14137965
J181239-192023	-2	346678.851497	-2	41330.1872105	338194.899862	338214.975754	338295.298462	34305.5551179	3505.0703859
J172132-351704	-2	349075.985494	-2	46983.2637293	339090.495815	339125.043554	339263.220177	38424.8507721	7495.97531103
J173641-323348	-2	386450.213613	-2	38812.6998594	339671.548364	340990.26874	346214.925012	34293.0168982	1910.09618191
J191546+095000	138215.641013	397099.17145	38404.8016639	45162.7027127	340092.739948	341991.83842	349485.051093	37426.7825073	5565.74491301
J172842-334832	-2	369761.879727	-2	37099.0077877	341538.426545	342119.083343	344431.930381	32839.2496781	2786.36673534
J173513-321801	-2	355617.71176	-2	46672.754364	345217.745542	345218.267176	345221.299565	37864.7277227	3200.0380872
J172247-360230	-2	355039.780338	-2	41106.9304204	345247.958518	345261.829771	345317.371207	34687.2059514	1514.42678319
J173928-323256	-2	379607.089262	-2	42630.2590697	345314.094122	346234.768599	349893.242472	36305.7798672	3567.94314606
J174445-321359	-2	450478.349816	-2	40051.4529359	346102.058675	349781.38797	364127.116468	36442.3371806	4021.48628741
J173924-300023	-2	376884.580133	-2	45040.3905734	346133.069788	346793.58421	349423.158187	38968.4211026	2657.2303165
J174729-300526	-2	365656.208811	-2	38898.6454798	346792.181317	346948.165618	347571.413871	35243.2514637	3578.58317485
J185601+013032	144103.451903	362350.18168	36612.8634717	41814.1218816	346819.63654	347112.203508	348280.016634	34136.9638446	1552.92175817
J171205-384241	-2	453666.082364	-2	57325.9881853	347253.665629	351019.261927	365694.104627	50814.3664139	15182.1529327
J174606-330036	-2	373307.534359	-2	37962.2046303	348964.754633	349496.384455	351614.867353	32637.1794728	1564.25121795
J175659-270633	-2	362108.559604	-2	49091.3724883	348973.515819	349074.048717	349475.897088	38922.2421641	4358.02405388
J175230-274518	-2	372002.086371	-2	41304.9547174	349406.704076	349876.254965	351748.19333	35297.8849955	2564.1057726
J172252-380301	-2	372752.140358	-2	48772.2019382	350041.221893	350519.7327	352427.280342	38599.1254371	3901.86312086
J182129-142538	-2	360302.921978	-2	39907.3052779	350420.350913	350448.342414	350560.31617	33883.6654295	2109.01196547
J171323-403632	-2	393766.01127	-2	42843.1827181	350625.540226	351875.99876	356834.016946	36902.3373213	4095.471435
J171712-345025	-2	373792.26865	-2	45920.4423378	351204.339905	351747.131436	353909.974332	37074.7956882	4649.14587711
J175834-243352	-2	367221.269301	-2	60024.5085988	351419.959767	351431.974668	351480.053622	44224.5449148	9607.38949805
J180328-215426	-2	400233.127154	-2	41821.268421	352025.426801	353386.940678	358781.333373	36823.8280981	2269.68581019
J181838-132329	-2	363877.927202	-2	46910.1565046	352086.777501	352202.980333	352667.414646	37529.6730515	4410.09285952
J172311-335420	-2	362413.304442	-2	39633.2295362	352226.391714	352224.39261	352224.303046	34172.2033368	2656.46487877
J173801-312609	-2	572840.980167	-2	42800.7006024	352248.896479	361145.887002	394733.604231	42023.7277912	6447.42860997
J182643-120058	-2	366072.434932	-2	52501.1991631	354101.001716	354122.191787	354206.954675	40077.506328	4390.09803559
J174309-350216	-2	359566.523212	-2	44039.7188496	354126.23252	354128.446976	354137.607166	34079.506677	3057.72387323
J174019-281735	-2	371201.84041	-2	42242.5096842	354454.664323	354596.781856	355164.689375	37275.128904	2736.96556174
J173119-314042	-2	367909.783833	-2	43490.7220827	354694.060989	354822.927344	355337.930351	36465.7305692	2217.87011316
J172913-325545	-2	366844.617281	-2	41811.202534	354768.113675	354853.542079	355195.057922	35492.8989595	2099.50611094
J175008-322638	-2	380417.931144	-2	48700.2288871	357092.434453	357657.197126	359907.387008	37311.5015599	3119.89601654
J180433-221727	-2	564812.979052	-2	40702.9631738	357400.248568	365739.66074	397350.911101	38854.0386541	4134.69213302
J171311-371252	-2	393064.79423	-2	46909.7548448	360112.409581	360941.969045	364241.314687	39063.1268757	2353.25603688
J185138-024943	-2	415099.181312	-2	66549.2832199	360769.206646	362327.639045	368495.465922	51268.9077197	18731.7519567
J170837-384643	-2	371251.735418	-2	46608.7772373	361261.418099	361306.22613	361485.425565	37685.5299014	3488.79571827
J175501-263528	-2	449914.522389	-2	48873.7797611	361507.937898	364508.168517	376269.940443	43399.3095617	6998.557064
J180407-170641	-2	398128.273068	-2	52707.8472137	362009.792982	362982.995429	366849.988908	41143.3832826	5485.33391588
J181423-163345	-2	418424.906268	-2	40186.0388085	362936.934107	364569.166685	371026.2987	35463.9694518	1815.11932007
J182117-115019	-2	378127.009406	-2	52874.8021901	363131.151771	363276.672034	363858.17538	40132.8380702	2988.60673866
J183713-043052	-2	392421.545782	-2	45516.1948558	363397.212631	364158.145837	367186.110845	37292.7550859	2703.20755879
J172733-335206	-2	376989.769214	-2	44170.1590089	363645.929194	363771.011427	364270.919427	37197.5375836	2500.14611736
J190545+070129	136856.237979	392192.976468	48721.0603923	56529.6381472	364956.838329	365571.941846	368022.075986	41491.2414212	6645.73810523
J173119-335432	-2	377623.126129	-2	50067.7457121	364986.564453	365066.036065	365383.761127	41748.6074565	8135.53607913
J183020-070843	-2	419972.734048	-2	54394.2144498	366051.218234	367661.053093	374031.11183	44197.548736	6898.83563626
J171621-412412	-2	405275.13003	-2	39857.86161	366884.96164	368013.058348	372491.282713	33671.674727	1829.59601859
J182019-111601	-2	381030.692248	-2	45895.3665999	367716.20837	367938.748821	368827.572871	36952.7309189	3914.03086653
J175102-280901	-2	424781.343131	-2	57192.9797586	368964.874235	370566.166377	376903.309666	46059.829717	5631.24444947
J173724-291957	-2	399076.34947	-2	40963.0446374	369701.970141	370223.852962	372304.070773	36847.9674215	1832.03956748
J173913-312111	-2	480696.731783	-2	36406.4173852	370156.977961	373476.04523	386467.37096	33904.6715809	1974.67489365
J175154-252917	-2	406258.568747	-2	42343.19817	370845.421196	371748.324262	375338.218393	36632.468725	1890.36890389
J182834-133112	-2	389843.891735	-2	41901.9922655	371926.245644	372240.081769	373492.792115	35712.9114086	3405.34774265
J165145-434457	-2	392083.536388	-2	45910.1248101	373150.531799	373490.20549	374845.82415	38092.8607491	1696.59451717
J180613-183507	-2	387957.780877	-2	48968.5355204	373221.943992	373402.317715	374122.945454	39577.9790498	3095.03472407
J173341-304201	-2	418730.986584	-2	40635.2217025	374416.324914	375433.898162	379476.907444	36955.1853308	2685.53843063
J180901-201941	-2	389161.875924	-2	50697.628565	375798.445499	375913.539695	376373.569875	42346.9608078	8066.71037007
J170211-432633	-2	391986.724772	-2	59388.9193778	375867.563992	375968.71317	376373.042149	42822.2404082	3990.8918314
J182817-090652	-2	393040.047296	-2	42933.2675026	377062.854837	377318.890909	378341.305059	36147.3224293	2439.0508699
J175255-285643	-2	392858.288507	-2	47468.0448238	378993.758329	379120.418191	379626.641844	41456.7128605	8435.3295468
J175540-263845	-2	397791.278726	-2	55231.7801698	379060.783321	379313.91549	380324.762361	43626.0676121	6436.9665252
J173252-285940	-2	390931.760752	-2	49595.903926	380355.889125	380398.141042	380567.117981	39760.5206844	3087.89117216
J182036-115750	-2	409447.025062	-2	52022.7371626	382671.895307	383283.380695	385719.629196	41928.9161363	4784.77002785
J170932-395818	-2	414758.507094	-2	46019.9646067	383658.924246	384391.249284	387306.703647	39353.5460322	1953.46130013
J191542+130724	140378.835027	393370.284084	48785.2577161	56303.9371588	383687.611043	383691.799078	383708.670766	38933.8795587	2215.38189308
J175319-284602	-2	411852.107473	-2	37783.3825067	384627.920071	385019.693263	386582.818253	33104.9394578	1818.03536218
J173012-381348	-2	400144.50856	-2	52020.2628314	385304.296009	385538.885045	386475.819265	39477.3130492	2736.74857296
J181830-193445	-2	407194.41507	-2	38301.3990519	385723.141464	386109.467626	387650.926044	32598.1553917	2090.32921155
J171103-411728	-2	405251.444137	-2	52792.8759065	388218.645093	388448.558305	389366.856327	41710.4260893	2170.37788849
J165757-423339	-2	412177.145997	-2	53841.7853613	388390.10259	388895.379724	390909.958171	45000.7940678	10184.4329444
J185528+070939	149128.292162	405155.274036	46441.5776118	53459.4056948	389351.548739	389634.442677	390763.972877	39695.3009569	3498.29034
